"ID","weight","direction_v3","dimension"
"NFS1",10.38527,1,"Strength"
"NEK4",7.87709176067221,1,"Strength"
"RFT1",7.67211564694185,1,"Strength"
"PLEKHM1",7.5094,-1,"Strength"
"MAPT",7.4308,1,"Strength"
"RBM6",7.39045,1,"Strength"
"PLCD3",6.3444,1,"Strength"
"UQCC1",6.32610195504572,-1,"Strength"
"PCMT1",6.13637,-1,"Strength"
"NUP43",6.0718,1,"Strength"
"FGFRL1",6.0295,1,"Strength"
"MAN2C1",6.0052,1,"Strength"
"GINM1",5.77324,1,"Strength"
"DLG1",5.6901,-1,"Strength"
"SNRPC",5.5293,1,"Strength"
"AK9",5.48802,1,"Strength"
"EIF6",5.43316048171167,1,"Strength"
"ZFYVE21",5.3485,-1,"Strength"
"CEP192",5.254489,1,"Strength"
"UBE2G2",5.194,-1,"Strength"
"MAP1LC3A",5.16502169619193,1,"Strength"
"KIF1B",5.14138,1,"Strength"
"UHRF1BP1",5.0826,-1,"Strength"
"ACSS3",5.0822,1,"Strength"
"GOLGA1",5.04175,1,"Strength"
"LRPPRC",5.032026,1,"Strength"
"SND1",5.018542,1,"Strength"
"MTCH2",4.65402051993757,-1,"Strength"
"CEP250",4.35220688286414,-1,"Strength"
"ACSS2",3.76294651783014,1,"Strength"
"GGT7",3.44905474659362,1,"Strength"
"UQCC1",55.6521580029959,-1,"Mass"
"CEP250",54.901429848126,-1,"Mass"
"NFS1",54.3034295775097,1,"Mass"
"ACSS2",39.7224786624831,1,"Mass"
"MAP1LC3A",34.187944884209,1,"Mass"
"GGT7",34.1199528551594,1,"Mass"
"CPNE1",33.7203650346493,-1,"Mass"
"SNRPC",30.5428056619108,-1,"Mass"
"EIF6",29.7327226754153,1,"Mass"
"CYBRD1",28.470779853388,1,"Mass"
"RSRC2",28.3110773437963,-1,"Mass"
"CBFA2T2",27.5407819681587,1,"Mass"
"RBL2",26.8068354358905,-1,"Mass"
"RBM6",26.0203216047161,-1,"Mass"
"GATAD1",25.2996038290032,-1,"Mass"
"SMARCD2",25.275674898217,-1,"Mass"
"AK9",24.7511415045852,1,"Mass"
